MCF Channel Grouping Path,Conversions,Conversion Value,,
Direct > Direct,"1,246",47709.22,,
Referral > Direct,"1,156",48734.09,,
Organic Search > Direct,818,5353.64,,
Direct > Direct > Direct,587,27418.20,,
Referral > Direct > Direct,472,20511.57,,
Referral > Referral,370,16339.34,,
Direct > Referral,338,11734.82,,
Organic Search > Direct > Direct,320,4033.20,,
Direct > Direct > Direct > Direct,318,12406.28,,
Referral > Direct > Direct > Direct,247,12316.31,,
Direct > Direct > Direct > Direct > Direct,221,13745.72,,
Direct > Direct > Direct > Direct > Direct > Direct,149,9793.66,,
Organic Search > Direct > Direct > Direct,131,4456.31,,
Referral > Direct > Direct > Direct > Direct,125,4859.07,,
Organic Search > Referral,121,1113.10,,
Referral > Referral > Referral,99,3204.00,,
Direct > Direct > Direct > Direct > Direct > Direct > Direct,94,2860.98,,
Direct > Organic Search,81,1059.63,,
Direct > Direct > Referral,78,2558.51,,
Referral > Referral > Direct,77,3188.00,,
Direct > Referral > Direct,75,2820.14,,
Direct > Referral > Referral,63,3486.10,,
Organic Search > Direct > Direct > Direct > Direct,62,531.94,,
Referral > Direct > Direct > Direct > Direct > Direct,61,3387.09,,
Direct > Referral > Direct > Direct,55,2182.70,,
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,52,3806.61,,
Referral > Organic Search,49,109.57,,
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,46,1988.92,,
Organic Search > Direct > Direct > Direct > Direct > Direct,45,174.92,,
Referral > Direct > Referral,42,2346.58,,
Other Advertising > Direct,42,1933.17,,
Referral > Referral > Direct > Direct,39,1519.76,,
Referral > Referral > Referral > Direct,35,2392.00,,
Organic Search > Direct > Referral,35,774.49,,
Referral > Organic Search > Referral,32,923.00,,
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,31,170.25,,
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,30,489.32,,
Direct > Referral > Direct > Direct > Direct,30,553.59,,
Referral > Direct > Direct > Direct > Direct > Direct > Direct,30,3246.17,,
Organic Search > Referral > Direct,30,175.89,,
Social Network > Social Network,30,1162.45,,
Direct > Referral > Referral > Referral,27,2149.00,,
Referral > Referral > Direct > Referral,26,1141.00,,
Organic Search > Organic Search,26,311.44,,
Direct > Direct > Direct > Referral,24,1016.31,,
Direct > Direct > Organic Search,24,190.69,,
Referral > Direct > Direct > Direct > Direct > Direct > Direct > Direct,24,1339.19,,
Social Network > Direct,22,209.00,,
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,21,668.18,,
Direct > Referral > Direct > Direct > Direct > Direct,20,586.00,,
